license_text,yolo_confidence,ocr_confidence
S882997,0.67,"[0.17883998155593872, 0.38349437713623047, 0.7169387936592102, 0.249690979719162, 0.4755760431289673, 0.25835224986076355, 0.14356689155101776, 0.931823194026947, 0.9999037981033325]"
6488R88,0.63,"[0.2437557876110077, 0.4245995283126831, 0.4768841564655304, 0.19914017617702484, 0.24729977548122406, 0.11195783317089081, 0.1395692229270935, 0.9110537767410278, 0.9990590214729309]"
A886KPP,0.73,"[0.2662951648235321, 0.29465192556381226, 0.3234540820121765, 0.47507989406585693, 0.1744478940963745, 0.10558965057134628, 0.20472975075244904, 0.7087885737419128, 0.9949076771736145]"
AHZRRX2,0.68,"[0.7117393016815186, 0.14188030362129211, 0.4700982868671417, 0.20921817421913147, 0.11932928115129471, 0.20978963375091553, 0.15388858318328857, 0.8957898616790771, 0.9975861310958862]"
A88NKN2,0.70,"[0.9805290102958679, 0.24098213016986847, 0.743057906627655, 0.31776493787765503, 0.8266355395317078, 0.20434093475341797, 0.12490911036729813, 0.8643023371696472, 0.9988296627998352]"
A89248R,0.65,"[0.6857631802558899, 0.22357487678527832, 0.32989057898521423, 0.38477954268455505, 0.23268502950668335, 0.2495572715997696, 0.3119259178638458, 0.42077744007110596, 0.9966040849685669]"
K222388,0.69,"[0.3319842219352722, 0.2235245406627655, 0.21230816841125488, 0.16783055663108826, 0.24601887166500092, 0.3350335955619812, 0.24295155704021454, 0.36774739623069763, 0.9885363578796387]"
3828KS3,0.67,"[0.37007999420166016, 0.31460633873939514, 0.9128525257110596, 0.2171057015657425, 0.5036580562591553, 0.19207431375980377, 0.20713402330875397, 0.9714055061340332, 0.9995741248130798]"
A828K48,0.62,"[0.3682169020175934, 0.7766585946083069, 0.9215312004089355, 0.2765711545944214, 0.2413591742515564, 0.3433380424976349, 0.3342154920101166, 0.7922347784042358, 0.9993022680282593]"
K0838R3,0.65,"[0.862847089767456, 0.3335755169391632, 0.6791847348213196, 0.4055730998516083, 0.36515313386917114, 0.18477363884449005, 0.15911966562271118, 0.42583751678466797, 0.9945874214172363]"
AN2888K,0.56,"[0.23305127024650574, 0.12300398200750351, 0.5485699772834778, 0.16832144558429718, 0.29505905508995056, 0.2134702205657959, 0.1715506613254547, 0.3417070508003235, 0.9852205514907837]"
A822888,0.60,"[0.1339406967163086, 0.49625375866889954, 0.7570802569389343, 0.3768008053302765, 0.36833226680755615, 0.3384552001953125, 0.20627868175506592, 0.37217873334884644, 0.6971681118011475]"
B838R82,0.73,"[0.5570021271705627, 0.9292266964912415, 0.9850764870643616, 0.6338541507720947, 0.40209612250328064, 0.29162466526031494, 0.13321156799793243, 0.5853883624076843, 0.9657987356185913]"
83A8899,0.68,"[0.38640111684799194, 0.32353901863098145, 0.1741926223039627, 0.1628423035144806, 0.3712224066257477, 0.5889665484428406, 0.3453463613986969, 0.585051953792572, 0.8730200529098511]"
XX28888,0.73,"[0.6530219912528992, 0.18443050980567932, 0.6646386981010437, 0.5259584188461304, 0.3370136022567749, 0.2823408246040344, 0.2585560083389282, 0.4668090343475342, 0.9855371117591858]"
LA61FMA,0.53,"[0.7238591313362122, 0.9989213943481445, 0.9963228702545166, 0.9975103139877319, 0.9923378825187683, 0.6890765428543091, 0.9564900398254395, 0.9975312948226929, 0.9998738765716553]"
EA51FNA,0.51,"[0.9148895144462585, 0.9184191226959229, 0.4642810523509979, 0.5134793519973755, 0.4523335099220276, 0.325386106967926, 0.9401004910469055, 0.9950662851333618, 0.9997010231018066]"
EX81PAA,0.56,"[0.9181874394416809, 0.9853737354278564, 0.7154214978218079, 0.5486897230148315, 0.2967868149280548, 0.32123640179634094, 0.8725224733352661, 0.9981452226638794, 0.9999542236328125]"
EX611MA,0.61,"[0.5497024059295654, 0.5346540808677673, 0.6897240877151489, 0.6250320672988892, 0.4098084568977356, 0.941307544708252, 0.9697913527488708, 0.9544847011566162, 0.9997164607048035]"
LX61FMA,0.50,"[0.528753936290741, 0.8004764914512634, 0.912143886089325, 0.5594529509544373, 0.7482117414474487, 0.25664636492729187, 0.8874412775039673, 0.9980815649032593, 0.9999473094940186]"
LX51FMA,0.60,"[0.5330265760421753, 0.9975379705429077, 0.5117586255073547, 0.9546993374824524, 0.9865953922271729, 0.46224674582481384, 0.9376030564308167, 0.9997983574867249, 0.9999700784683228]"
LX51FAA,0.59,"[0.9335657358169556, 0.9972478747367859, 0.625587522983551, 0.9529510736465454, 0.9958695769309998, 0.5220174193382263, 0.9726574420928955, 0.9997590184211731, 0.9999890327453613]"
LXG1FMA,0.55,"[0.9970341920852661, 0.998332679271698, 0.8357718586921692, 0.9880036115646362, 0.9989432692527771, 0.9268665909767151, 0.9959614872932434, 0.9998165965080261, 0.9999974966049194]"
EX61FWA,0.65,"[0.4850585162639618, 0.9808655977249146, 0.9753730297088623, 0.9398335218429565, 0.9971542358398438, 0.45121362805366516, 0.8955256342887878, 0.9998063445091248, 0.9999991655349731]"
EX61FMA,0.68,"[0.45829010009765625, 0.977897584438324, 0.9858942031860352, 0.8607980012893677, 0.9833343625068665, 0.40041929483413696, 0.9686718583106995, 0.9996404647827148, 0.9999985694885254]"
LX61FWA,0.69,"[0.46739888191223145, 0.9662518501281738, 0.9921528697013855, 0.9960249662399292, 0.9972206354141235, 0.7236728668212891, 0.9894323348999023, 0.9998201727867126, 0.9999984502792358]"
